Filename,CD,Track,Index,Duration,Description
A_42P.wav,1911,43,1,,"1911, handgun, pistol, semi automatic, .45, gunshot, near distance, front of shooter, left, right, stereo"
A_34P.wav,1911,35,1,,"1911, handgun, pistol, semi automatic, .45, gunshot, mid distance, front of shooter, forward, back, stereo"
B_24P.wav,1917,25,1,,"Springfield 1917, rifle, bolt action, .30-06, gunshot, near distance, front of shooter, left, right, stereo"
B_16P.wav,1917,17,1,,"Springfield 1917, rifle, bolt action, .30-06, gunshot, mid distance, front of shooter, forward, back, stereo"
C_28P.wav,AK-47,29,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshot, near distance, front of shooter, left, right, stereo"
C_31P.wav,AK-47,39,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshot, mid distance, front of shooter, forward, back, stereo, last round"
C_29P.wav,AK-47,30,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshots, short burst, near distance, front of shooter, left, right, stereo"
C_34P.wav,AK-47,39,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshots, short burst, mid distance, front of shooter, forward, back, stereo, last round"
C_27P.wav,AK-47,31,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshots, long burst, near distance, front of shooter, left, right, stereo"
C_36P.wav,AK-47,37,1,,"AK-47, rifle, fully automatic, semi automatic, machine gun, assault rifle, 7.62x39, gunshots, long burst, mid distance, front of shooter, forward, back, stereo"
D_32P.wav,AR-15,33,1,,"AR-15, M4, rifle, carbine, semi automatic, assault rifle, .223, 5.56x45, gunshot, near distance, front of shooter, left, right, stereo"
D_24P.wav,AR-15,25,1,,"AR-15, M4, rifle, carbine, semi automatic, assault rifle, .223, 5.56x45, gunshot, mid distance, front of shooter, forward, back, stereo"
E_25P.wav,Arisaka,26,1,,"Arisaka, rifle, bolt action, .30-06, gunshot, near distance, front of shooter, left, right, stereo"
E_18P.wav,Arisaka,19,1,,"Arisaka, rifle, bolt action, .30-06, gunshot, mid distance, front of shooter, forward, back, stereo"
F_47P.wav,Bersa,46,1,,"Bersa, handgun, pistol, semi automatic, .380, gunshot, near distance, front of shooter, left, right, stereo"
F_41P.wav,Bersa,40,1,,"Bersa, handgun, pistol, semi automatic, .380, gunshot, gunshot, mid distance, front of shooter, forward, back, stereo"
G_31P.wav,Carl Gustav M45,32,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshot, near distance, front of shooter, left, right, stereo"
G_20P.wav,Carl Gustav M45,21,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshot, mid distance, front of shooter, forward, back, stereo"
G_33P.wav,Carl Gustav M45,34,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshots, short burst, near distance, front of shooter, left, right, stereo"
G_22P.wav,Carl Gustav M45,23,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshots, short burst, mid distance, front of shooter, forward, back, stereo"
G_35P.wav,Carl Gustav M45,36,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshots, long burst, near distance, front of shooter, left, right, stereo"
